"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US01003","Baldwin County, Alabama","223234","*****","*****","null","190912","2259","null","null","18338","null","1834","null","2428","null","1195","null","2160","733","null","null","0","null","206","null","4685","null","2280","null","4711","2205","null","null","0","null","206","null","4711","null","2205","null",
"0500000US01015","Calhoun County, Alabama","113605","*****","*****","null","82323","1330","null","null","25226","null","1306","null","201","null","243","null","225","211","null","null","85","null","130","null","3186","null","1802","null","2359","1184","null","null","0","null","206","null","2359","null","1184","null",
"0500000US01043","Cullman County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01049","DeKalb County, Alabama","71513","*****","*****","null","59305","1375","null","null","688","null","434","null","792","null","740","null","17","29","null","null","339","null","405","null","8327","null","1548","null","2045","913","null","null","8","null","18","null","2037","null","915","null",
"0500000US01051","Elmore County, Alabama","81209","*****","*****","null","61634","311","null","null","17768","null","410","null","204","null","210","null","884","206","null","null","0","null","206","null","216","null","259","null","503","381","null","null","64","null","114","null","439","null","365","null",
"0500000US01055","Etowah County, Alabama","102268","*****","*****","null","79988","698","null","null","16040","null","637","null","290","null","408","null","796","281","null","null","12","null","21","null","3207","null","777","null","1935","773","null","null","142","null","246","null","1793","null","702","null",
"0500000US01069","Houston County, Alabama","105882","*****","*****","null","71582","1487","null","null","29736","null","445","null","93","null","66","null","946","193","null","null","120","null","141","null","1502","null","1465","null","1903","471","null","null","146","null","129","null","1757","null","470","null",
"0500000US01073","Jefferson County, Alabama","658573","*****","*****","null","341788","2877","null","null","285001","null","1579","null","1846","null","1022","null","11523","818","null","null","0","null","206","null","9081","null","2812","null","9334","2045","null","null","353","null","259","null","8981","null","2045","null",
"0500000US01077","Lauderdale County, Alabama","92729","*****","*****","null","79178","1232","null","null","10533","null","739","null","224","null","310","null","117","187","null","null","0","null","206","null","620","null","382","null","2057","1110","null","null","1279","null","1069","null","778","null","615","null",
