"GEO_ID","NAME","B11012_001E","B11012_001EA","B11012_001M","B11012_001MA","B11012_002E","B11012_002EA","B11012_002M","B11012_002MA","B11012_003E","B11012_003M","B11012_003MA","B11012_003EA","B11012_004E","B11012_004EA","B11012_004M","B11012_004MA","B11012_005E","B11012_005M","B11012_005MA","B11012_005EA","B11012_006E","B11012_006M","B11012_006MA","B11012_006EA","B11012_007E","B11012_007M","B11012_007MA","B11012_007EA","B11012_008E","B11012_008EA","B11012_008M","B11012_008MA","B11012_009E","B11012_009M","B11012_009MA","B11012_009EA","B11012_010E","B11012_010M","B11012_010MA","B11012_010EA","B11012_011E","B11012_011M","B11012_011MA","B11012_011EA","B11012_012E","B11012_012EA","B11012_012M","B11012_012MA","B11012_013E","B11012_013EA","B11012_013M","B11012_013MA","B11012_014E","B11012_014M","B11012_014MA","B11012_014EA","B11012_015E","B11012_015M","B11012_015MA","B11012_015EA","B11012_016E","B11012_016M","B11012_016MA","B11012_016EA","B11012_017E","B11012_017EA","B11012_017M","B11012_017MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Married-couple household:","Annotation of Estimate!!Total:!!Married-couple household:","Margin of Error!!Total:!!Married-couple household:","Annotation of Margin of Error!!Total:!!Married-couple household:","Estimate!!Total:!!Married-couple household:!!With own children under 18 years","Margin of Error!!Total:!!Married-couple household:!!With own children under 18 years","Annotation of Margin of Error!!Total:!!Married-couple household:!!With own children under 18 years","Annotation of Estimate!!Total:!!Married-couple household:!!With own children under 18 years","Estimate!!Total:!!Married-couple household:!!With no own children under 18 years","Annotation of Estimate!!Total:!!Married-couple household:!!With no own children under 18 years","Margin of Error!!Total:!!Married-couple household:!!With no own children under 18 years","Annotation of Margin of Error!!Total:!!Married-couple household:!!With no own children under 18 years","Estimate!!Total:!!Cohabiting couple household:","Margin of Error!!Total:!!Cohabiting couple household:","Annotation of Margin of Error!!Total:!!Cohabiting couple household:","Annotation of Estimate!!Total:!!Cohabiting couple household:","Estimate!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years","Annotation of Margin of Error!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years","Annotation of Estimate!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years","Annotation of Margin of Error!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years","Annotation of Estimate!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:","Margin of Error!!Total:!!Female householder, no spouse or partner present:","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Estimate!!Total:!!Male householder, no spouse or partner present:","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:","Margin of Error!!Total:!!Male householder, no spouse or partner present:","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With own children under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no own children under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Annotation of Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Annotation of Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present",
"0500000US01003","Baldwin County, Alabama","82325","null","3231","null","42253","null","3566","null","12382","2316","null","null","29871","null","2303","null","4044","1383","null","null","1483","892","null","null","2561","979","null","null","22252","null","2717","null","14733","2109","null","null","3132","1428","null","null","4208","1340","null","null","179","null","176","null","13776","null","2418","null","10594","2215","null","null","1193","644","null","null","1407","609","null","null","582","null","387","null",
"0500000US01015","Calhoun County, Alabama","44636","null","2010","null","20571","null","1976","null","6800","1210","null","null","13771","null","1564","null","2851","880","null","null","1228","640","null","null","1623","689","null","null","13946","null","1683","null","7778","1323","null","null","3049","1302","null","null","2879","906","null","null","240","null","183","null","7268","null","1306","null","5807","1154","null","null","460","370","null","null","408","256","null","null","593","null","412","null",
"0500000US01043","Cullman County, Alabama","32090","null","1233","null","17070","null","1332","null","6332","985","null","null","10738","null","1233","null","1603","575","null","null","702","436","null","null","901","400","null","null","8491","null","1119","null","4666","839","null","null","1052","526","null","null","2628","860","null","null","145","null","228","null","4926","null","1120","null","3102","935","null","null","775","669","null","null","819","414","null","null","230","null","277","null",
"0500000US01049","DeKalb County, Alabama","24880","null","1347","null","13623","null","1516","null","4736","1106","null","null","8887","null","1191","null","1227","519","null","null","509","373","null","null","718","352","null","null","5561","null","912","null","3775","739","null","null","649","431","null","null","851","476","null","null","286","null","292","null","4469","null","998","null","3776","963","null","null","425","345","null","null","260","211","null","null","8","null","18","null",
"0500000US01051","Elmore County, Alabama","30712","null","1330","null","16257","null","1636","null","5808","1154","null","null","10449","null","1326","null","1116","624","null","null","281","342","null","null","835","499","null","null","8189","null","1335","null","4384","1137","null","null","1518","805","null","null","2287","698","null","null","0","null","206","null","5150","null","1236","null","4383","1135","null","null","0","206","null","null","727","544","null","null","40","null","53","null",
"0500000US01055","Etowah County, Alabama","40053","null","1930","null","17587","null","1754","null","5419","1333","null","null","12168","null","1285","null","549","321","null","null","235","229","null","null","314","226","null","null","13957","null","1411","null","7764","1310","null","null","2687","599","null","null","3265","931","null","null","241","null","289","null","7960","null","1262","null","5549","1025","null","null","479","456","null","null","924","462","null","null","1008","null","707","null",
"0500000US01069","Houston County, Alabama","39761","null","1040","null","17794","null","1000","null","5585","664","null","null","12209","null","1006","null","1943","525","null","null","959","376","null","null","984","300","null","null","12988","null","890","null","7253","610","null","null","2917","513","null","null","2655","553","null","null","163","null","96","null","7036","null","949","null","5212","823","null","null","640","402","null","null","863","288","null","null","321","null","173","null",
"0500000US01073","Jefferson County, Alabama","264753","null","3376","null","110529","null","4815","null","40165","3177","null","null","70364","null","3861","null","15034","2427","null","null","4166","1493","null","null","10868","1726","null","null","92242","null","3398","null","49137","3471","null","null","19304","2650","null","null","21512","2306","null","null","2289","null","975","null","46948","null","3394","null","35410","2775","null","null","2696","1150","null","null","5053","1348","null","null","3789","null","1105","null",
"0500000US01077","Lauderdale County, Alabama","38761","null","1573","null","18344","null","2121","null","6119","1317","null","null","12225","null","1660","null","2368","957","null","null","694","601","null","null","1674","868","null","null","10875","null","1221","null","6308","1111","null","null","1818","777","null","null","1913","733","null","null","836","null","602","null","7174","null","1128","null","5989","1050","null","null","647","512","null","null","290","219","null","null","248","null","193","null",
