"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B15002_001E","Estimate!!Total:"
"B15002_001M","Margin of Error!!Total:"
"B15002_001MA","Annotation of Margin of Error!!Total:"
"B15002_001EA","Annotation of Estimate!!Total:"
"B15002_002E","Estimate!!Total:!!Male:"
"B15002_002EA","Annotation of Estimate!!Total:!!Male:"
"B15002_002M","Margin of Error!!Total:!!Male:"
"B15002_002MA","Annotation of Margin of Error!!Total:!!Male:"
"B15002_003E","Estimate!!Total:!!Male:!!No schooling completed"
"B15002_003EA","Annotation of Estimate!!Total:!!Male:!!No schooling completed"
"B15002_003M","Margin of Error!!Total:!!Male:!!No schooling completed"
"B15002_003MA","Annotation of Margin of Error!!Total:!!Male:!!No schooling completed"
"B15002_004E","Estimate!!Total:!!Male:!!Nursery to 4th grade"
"B15002_004M","Margin of Error!!Total:!!Male:!!Nursery to 4th grade"
"B15002_004MA","Annotation of Margin of Error!!Total:!!Male:!!Nursery to 4th grade"
"B15002_004EA","Annotation of Estimate!!Total:!!Male:!!Nursery to 4th grade"
"B15002_005E","Estimate!!Total:!!Male:!!5th and 6th grade"
"B15002_005EA","Annotation of Estimate!!Total:!!Male:!!5th and 6th grade"
"B15002_005M","Margin of Error!!Total:!!Male:!!5th and 6th grade"
"B15002_005MA","Annotation of Margin of Error!!Total:!!Male:!!5th and 6th grade"
"B15002_006E","Estimate!!Total:!!Male:!!7th and 8th grade"
"B15002_006EA","Annotation of Estimate!!Total:!!Male:!!7th and 8th grade"
"B15002_006M","Margin of Error!!Total:!!Male:!!7th and 8th grade"
"B15002_006MA","Annotation of Margin of Error!!Total:!!Male:!!7th and 8th grade"
"B15002_007E","Estimate!!Total:!!Male:!!9th grade"
"B15002_007EA","Annotation of Estimate!!Total:!!Male:!!9th grade"
"B15002_007M","Margin of Error!!Total:!!Male:!!9th grade"
"B15002_007MA","Annotation of Margin of Error!!Total:!!Male:!!9th grade"
"B15002_008E","Estimate!!Total:!!Male:!!10th grade"
"B15002_008M","Margin of Error!!Total:!!Male:!!10th grade"
"B15002_008MA","Annotation of Margin of Error!!Total:!!Male:!!10th grade"
"B15002_008EA","Annotation of Estimate!!Total:!!Male:!!10th grade"
"B15002_009E","Estimate!!Total:!!Male:!!11th grade"
"B15002_009EA","Annotation of Estimate!!Total:!!Male:!!11th grade"
"B15002_009M","Margin of Error!!Total:!!Male:!!11th grade"
"B15002_009MA","Annotation of Margin of Error!!Total:!!Male:!!11th grade"
"B15002_010E","Estimate!!Total:!!Male:!!12th grade, no diploma"
"B15002_010M","Margin of Error!!Total:!!Male:!!12th grade, no diploma"
"B15002_010MA","Annotation of Margin of Error!!Total:!!Male:!!12th grade, no diploma"
"B15002_010EA","Annotation of Estimate!!Total:!!Male:!!12th grade, no diploma"
"B15002_011E","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)"
"B15002_011EA","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)"
"B15002_011M","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)"
"B15002_011MA","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)"
"B15002_012E","Estimate!!Total:!!Male:!!Some college, less than 1 year"
"B15002_012EA","Annotation of Estimate!!Total:!!Male:!!Some college, less than 1 year"
"B15002_012M","Margin of Error!!Total:!!Male:!!Some college, less than 1 year"
"B15002_012MA","Annotation of Margin of Error!!Total:!!Male:!!Some college, less than 1 year"
"B15002_013E","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree"
"B15002_013M","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree"
"B15002_013MA","Annotation of Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree"
"B15002_013EA","Annotation of Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree"
"B15002_014E","Estimate!!Total:!!Male:!!Associate's degree"
"B15002_014EA","Annotation of Estimate!!Total:!!Male:!!Associate's degree"
"B15002_014M","Margin of Error!!Total:!!Male:!!Associate's degree"
"B15002_014MA","Annotation of Margin of Error!!Total:!!Male:!!Associate's degree"
"B15002_015E","Estimate!!Total:!!Male:!!Bachelor's degree"
"B15002_015M","Margin of Error!!Total:!!Male:!!Bachelor's degree"
