"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002EA","B15002_002M","B15002_002MA","B15002_003E","B15002_003EA","B15002_003M","B15002_003MA","B15002_004E","B15002_004M","B15002_004MA","B15002_004EA","B15002_005E","B15002_005EA","B15002_005M","B15002_005MA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007EA","B15002_007M","B15002_007MA","B15002_008E","B15002_008M","B15002_008MA","B15002_008EA","B15002_009E","B15002_009EA","B15002_009M","B15002_009MA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011EA","B15002_011M","B15002_011MA","B15002_012E","B15002_012EA","B15002_012M","B15002_012MA","B15002_013E","B15002_013M","B15002_013MA","B15002_013EA","B15002_014E","B15002_014EA","B15002_014M","B15002_014MA","B15002_015E","B15002_015M","B15002_015MA","B15002_015EA","B15002_016E","B15002_016EA","B15002_016M","B15002_016MA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018EA","B15002_018M","B15002_018MA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020EA","B15002_020M","B15002_020MA","B15002_021E","B15002_021EA","B15002_021M","B15002_021MA","B15002_022E","B15002_022EA","B15002_022M","B15002_022MA","B15002_023E","B15002_023EA","B15002_023M","B15002_023MA","B15002_024E","B15002_024EA","B15002_024M","B15002_024MA","B15002_025E","B15002_025M","B15002_025MA","B15002_025EA","B15002_026E","B15002_026M","B15002_026MA","B15002_026EA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028M","B15002_028MA","B15002_028EA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031EA","B15002_031M","B15002_031MA","B15002_032E","B15002_032EA","B15002_032M","B15002_032MA","B15002_033E","B15002_033EA","B15002_033M","B15002_033MA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035EA","B15002_035M","B15002_035MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!No schooling completed","Annotation of Estimate!!Total:!!Male:!!No schooling completed","Margin of Error!!Total:!!Male:!!No schooling completed","Annotation of Margin of Error!!Total:!!Male:!!No schooling completed","Estimate!!Total:!!Male:!!Nursery to 4th grade","Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Male:!!Nursery to 4th grade","Estimate!!Total:!!Male:!!5th and 6th grade","Annotation of Estimate!!Total:!!Male:!!5th and 6th grade","Margin of Error!!Total:!!Male:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Male:!!5th and 6th grade","Estimate!!Total:!!Male:!!7th and 8th grade","Annotation of Estimate!!Total:!!Male:!!7th and 8th grade","Margin of Error!!Total:!!Male:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Male:!!7th and 8th grade","Estimate!!Total:!!Male:!!9th grade","Annotation of Estimate!!Total:!!Male:!!9th grade","Margin of Error!!Total:!!Male:!!9th grade","Annotation of Margin of Error!!Total:!!Male:!!9th grade","Estimate!!Total:!!Male:!!10th grade","Margin of Error!!Total:!!Male:!!10th grade","Annotation of Margin of Error!!Total:!!Male:!!10th grade","Annotation of Estimate!!Total:!!Male:!!10th grade","Estimate!!Total:!!Male:!!11th grade","Annotation of Estimate!!Total:!!Male:!!11th grade","Margin of Error!!Total:!!Male:!!11th grade","Annotation of Margin of Error!!Total:!!Male:!!11th grade","Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Male:!!12th grade, no diploma","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Male:!!Associate's degree","Annotation of Estimate!!Total:!!Male:!!Associate's degree","Margin of Error!!Total:!!Male:!!Associate's degree","Annotation of Margin of Error!!Total:!!Male:!!Associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Estimate!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Master's degree","Annotation of Estimate!!Total:!!Male:!!Master's degree","Margin of Error!!Total:!!Male:!!Master's degree","Annotation of Margin of Error!!Total:!!Male:!!Master's degree","Estimate!!Total:!!Male:!!Professional school degree","Margin of Error!!Total:!!Male:!!Professional school degree","Annotation of Margin of Error!!Total:!!Male:!!Professional school degree","Annotation of Estimate!!Total:!!Male:!!Professional school degree","Estimate!!Total:!!Male:!!Doctorate degree","Annotation of Estimate!!Total:!!Male:!!Doctorate degree","Margin of Error!!Total:!!Male:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Male:!!Doctorate degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!No schooling completed","Annotation of Estimate!!Total:!!Female:!!No schooling completed","Margin of Error!!Total:!!Female:!!No schooling completed","Annotation of Margin of Error!!Total:!!Female:!!No schooling completed","Estimate!!Total:!!Female:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Female:!!Nursery to 4th grade","Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Estimate!!Total:!!Female:!!5th and 6th grade","Annotation of Estimate!!Total:!!Female:!!5th and 6th grade","Margin of Error!!Total:!!Female:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Female:!!5th and 6th grade","Estimate!!Total:!!Female:!!7th and 8th grade","Annotation of Estimate!!Total:!!Female:!!7th and 8th grade","Margin of Error!!Total:!!Female:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Female:!!7th and 8th grade","Estimate!!Total:!!Female:!!9th grade","Annotation of Estimate!!Total:!!Female:!!9th grade","Margin of Error!!Total:!!Female:!!9th grade","Annotation of Margin of Error!!Total:!!Female:!!9th grade","Estimate!!Total:!!Female:!!10th grade","Margin of Error!!Total:!!Female:!!10th grade","Annotation of Margin of Error!!Total:!!Female:!!10th grade","Annotation of Estimate!!Total:!!Female:!!10th grade","Estimate!!Total:!!Female:!!11th grade","Margin of Error!!Total:!!Female:!!11th grade","Annotation of Margin of Error!!Total:!!Female:!!11th grade","Annotation of Estimate!!Total:!!Female:!!11th grade","Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Female:!!12th grade, no diploma","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Female:!!Associate's degree","Annotation of Estimate!!Total:!!Female:!!Associate's degree","Margin of Error!!Total:!!Female:!!Associate's degree","Annotation of Margin of Error!!Total:!!Female:!!Associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Master's degree","Annotation of Estimate!!Total:!!Female:!!Master's degree","Margin of Error!!Total:!!Female:!!Master's degree","Annotation of Margin of Error!!Total:!!Female:!!Master's degree","Estimate!!Total:!!Female:!!Professional school degree","Annotation of Estimate!!Total:!!Female:!!Professional school degree","Margin of Error!!Total:!!Female:!!Professional school degree","Annotation of Margin of Error!!Total:!!Female:!!Professional school degree","Estimate!!Total:!!Female:!!Doctorate degree","Annotation of Estimate!!Total:!!Female:!!Doctorate degree","Margin of Error!!Total:!!Female:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Female:!!Doctorate degree",
"0500000US01003","Baldwin County, Alabama","159717","1496","null","null","75420","null","1349","null","673","null","440","null","271","326","null","null","66","null","86","null","962","null","624","null","1409","null","945","null","2084","865","null","null","995","null","650","null","1947","1168","null","null","19950","null","2604","null","4556","null","1135","null","9398","1585","null","null","7603","null","1709","null","17207","2366","null","null","5377","null","1594","null","1659","680","null","null","1263","null","854","null","84297","1325","null","null","615","null","428","null","0","null","206","null","27","null","46","null","476","null","362","null","1121","null","782","null","1716","993","null","null","1770","837","null","null","1026","507","null","null","21934","2745","null","null","6813","1998","null","null","14267","2677","null","null","8567","null","1647","null","15574","null","2476","null","8484","null","2037","null","1061","null","521","null","846","null","643","null",
"0500000US01015","Calhoun County, Alabama","79084","750","null","null","37539","null","663","null","272","null","216","null","249","328","null","null","13","null","27","null","1595","null","840","null","813","null","560","null","2633","1066","null","null","703","null","449","null","397","246","null","null","12637","null","1960","null","1894","null","614","null","6733","1631","null","null","3480","null","1278","null","4232","1230","null","null","815","null","401","null","439","263","null","null","634","null","365","null","41545","566","null","null","410","null","298","null","243","null","359","null","0","null","206","null","542","null","415","null","891","null","578","null","1265","707","null","null","1598","790","null","null","571","420","null","null","14640","1955","null","null","2230","713","null","null","6386","1324","null","null","3632","null","989","null","4850","null","1179","null","3102","null","769","null","637","null","490","null","548","null","506","null",
"0500000US01043","Cullman County, Alabama","58795","397","null","null","28374","null","568","null","353","null","254","null","130","189","null","null","76","null","84","null","852","null","503","null","1038","null","574","null","1519","744","null","null","1529","null","748","null","335","262","null","null","9368","null","1367","null","2372","null","750","null","3721","1066","null","null","3494","null","955","null","2204","797","null","null","872","null","402","null","342","225","null","null","169","null","166","null","30421","632","null","null","414","null","289","null","117","null","133","null","118","null","142","null","589","null","384","null","1148","null","624","null","1231","565","null","null","767","398","null","null","798","427","null","null","8556","1184","null","null","2265","897","null","null","5475","1156","null","null","3289","null","1057","null","3731","null","1096","null","1923","null","620","null","0","null","206","null","0","null","206","null",
"0500000US01049","DeKalb County, Alabama","47007","633","null","null","22825","null","510","null","639","null","466","null","500","424","null","null","686","null","586","null","360","null","270","null","772","null","490","null","977","451","null","null","768","null","450","null","573","432","null","null","9904","null","1310","null","1457","null","572","null","3044","794","null","null","1132","null","449","null","1599","635","null","null","297","null","194","null","117","154","null","null","0","null","206","null","24182","510","null","null","1305","null","928","null","350","null","404","null","420","null","349","null","408","null","235","null","402","null","342","null","907","513","null","null","761","409","null","null","215","173","null","null","7977","1310","null","null","1985","766","null","null","2165","671","null","null","3301","null","900","null","2094","null","703","null","1782","null","634","null","110","null","100","null","0","null","206","null",
"0500000US01051","Elmore County, Alabama","57553","858","null","null","27482","null","653","null","92","null","102","null","0","206","null","null","233","null","205","null","1161","null","581","null","450","null","365","null","520","369","null","null","661","null","498","null","382","277","null","null","9176","null","1356","null","1883","null","707","null","3424","1015","null","null","2706","null","1174","null","4611","1159","null","null","1340","null","604","null","325","318","null","null","518","null","426","null","30071","559","null","null","243","null","202","null","0","null","206","null","60","null","99","null","298","null","253","null","139","null","172","null","647","352","null","null","621","439","null","null","433","237","null","null","10816","1594","null","null","2165","711","null","null","4018","1176","null","null","3115","null","960","null","4807","null","1091","null","2116","null","639","null","455","null","339","null","138","null","112","null",
"0500000US01055","Etowah County, Alabama","71744","839","null","null","34002","null","730","null","490","null","320","null","189","221","null","null","275","null","252","null","628","null","350","null","1302","null","610","null","924","476","null","null","774","null","451","null","1260","944","null","null","11678","null","1576","null","2415","null","894","null","5709","1360","null","null","3216","null","890","null","2891","952","null","null","1408","null","624","null","391","382","null","null","452","null","320","null","37742","549","null","null","481","null","306","null","86","null","128","null","10","null","22","null","598","null","344","null","561","null","383","null","1464","843","null","null","1165","520","null","null","1173","530","null","null","11359","1411","null","null","3844","1089","null","null","6335","1289","null","null","3439","null","931","null","4633","null","971","null","1678","null","592","null","537","null","440","null","379","null","284","null",
"0500000US01069","Houston County, Alabama","73454","156","null","null","33978","null","207","null","707","null","259","null","163","133","null","null","286","null","172","null","943","null","381","null","598","null","258","null","951","311","null","null","822","null","274","null","586","233","null","null","10359","null","927","null","2942","null","945","null","4939","826","null","null","2808","null","622","null","5266","749","null","null","1552","null","459","null","726","236","null","null","330","null","191","null","39476","200","null","null","633","null","223","null","74","null","52","null","288","null","221","null","675","null","319","null","746","null","279","null","1145","420","null","null","1156","396","null","null","1237","403","null","null","11941","978","null","null","2663","399","null","null","6029","738","null","null","4086","null","563","null","5187","null","743","null","3014","null","542","null","427","null","223","null","175","null","89","null",
"0500000US01073","Jefferson County, Alabama","451818","364","null","null","206799","null","801","null","1536","null","693","null","657","356","null","null","1042","null","678","null","1863","null","776","null","2474","null","938","null","3481","1007","null","null","5137","null","1372","null","4590","1240","null","null","59248","null","3841","null","12818","null","1967","null","30515","2457","null","null","15430","null","2075","null","40385","3433","null","null","15177","null","1987","null","8586","1339","null","null","3860","null","910","null","245019","890","null","null","1390","null","442","null","344","null","325","null","1333","null","543","null","1754","null","648","null","2412","null","934","null","3027","1232","null","null","4149","1074","null","null","4550","1327","null","null","62390","4466","null","null","12522","1791","null","null","39104","3571","null","null","23619","null","2844","null","51654","null","3819","null","25014","null","3007","null","7144","null","1647","null","4613","null","1043","null",
"0500000US01077","Lauderdale County, Alabama","64267","1031","null","null","30233","null","467","null","140","null","171","null","330","415","null","null","21","null","46","null","1020","null","817","null","1059","null","603","null","625","533","null","null","1639","null","751","null","389","236","null","null","10200","null","1474","null","2244","null","622","null","3871","1107","null","null","1562","null","642","null","3996","1031","null","null","2055","null","796","null","707","365","null","null","375","null","268","null","34034","881","null","null","411","null","358","null","0","null","206","null","0","null","206","null","1178","null","601","null","693","null","425","null","647","464","null","null","701","363","null","null","811","573","null","null","11789","1509","null","null","2555","816","null","null","4705","1196","null","null","3391","null","924","null","4495","null","1028","null","2228","null","744","null","232","null","238","null","198","null","119","null",
